Rank,IMDB Rating,Director,Metascore,Release Year,Duration,Title,IMDB Rating scaled up,Movie Age
78,8.3,Mel Gibson,68,1995,2.966666666666667,Braveheart,83,28
79,8.4,Anthony Russo,78,2019,3.0166666666666666,Avengers: Endgame,84,4
80,8.4,Todd Phillips,59,2019,2.033333333333333,Joker,84,4
81,8.3,Hayao Miyazaki,76,1997,2.2333333333333334,Mononoke-hime,83,26
82,8.4,Gus Van Sant,70,1997,2.1,Good Will Hunting,84,26
83,8.4,Makoto Shinkai,81,2016,1.7666666666666666,Kimi no na wa.,84,7
84,8.3,Sergio Leone,75,1984,3.8166666666666664,Once Upon a Time in America,83,39
85,8.4,Akira Kurosawa,90,1963,2.3833333333333333,Tengoku to jigoku,84,60
86,8.4,Rajkumar Hirani,67,2009,2.8333333333333335,3 Idiots,84,14
87,8.3,Stanley Donen,99,1952,1.7166666666666668,Singin' in the Rain,83,71
88,8.4,Nadine Labaki,75,2018,2.1,Capharnaüm,84,5
89,8.3,Darren Aronofsky,71,2000,1.7,Requiem for a Dream,83,23
90,8.4,Elem Klimov,84,1985,2.3666666666666667,Idi i smotri,84,38
91,8.3,Lee Unkrich,92,2010,1.7166666666666668,Toy Story 3,83,13
92,8.3,Richard Marquand,58,1983,2.183333333333333,Star Wars: Episode VI - Return of the Jedi,83,40
93,8.3,Michel Gondry,89,2004,1.8,Eternal Sunshine of the Spotless Mind,83,19
94,8.3,Stanley Kubrick,84,1968,2.4833333333333334,2001: A Space Odyssey,83,55
95,8.3,Thomas Vinterberg,77,2012,1.9166666666666665,Jagten,83,11
96,8.3,Quentin Tarantino,81,1992,1.65,Reservoir Dogs,83,31
97,8.3,Akira Kurosawa,92,1952,2.3833333333333333,Ikiru,83,71
98,8.3,David Lean,100,1962,3.6333333333333333,Lawrence of Arabia,83,61
99,8.3,Billy Wilder,94,1960,2.0833333333333335,The Apartment,83,63
100,8.3,Orson Welles,100,1941,1.9833333333333334,Citizen Kane,83,82
101,8.3,Fritz Lang,83,1931,1.95,M - Eine Stadt sucht einen Mörder,83,92
102,8.3,Alfred Hitchcock,98,1959,2.2666666666666666,North by Northwest,83,64
103,8.3,Alfred Hitchcock,100,1958,2.1333333333333333,Vertigo,83,65
104,8.3,Billy Wilder,95,1944,1.7833333333333332,Double Indemnity,83,79
105,8.3,Brian De Palma,65,1983,2.8333333333333335,Scarface,83,40
106,8.3,Jean-Pierre Jeunet,69,2001,2.033333333333333,Le fabuleux destin d'Amélie Poulain,83,22
107,8.3,Stanley Kubrick,78,1987,1.9333333333333333,Full Metal Jacket,83,36
108,8.3,Denis Villeneuve,80,2010,2.183333333333333,Incendies,83,13
109,8.3,Stanley Kubrick,77,1971,2.2666666666666666,A Clockwork Orange,83,52
110,8.3,Michael Mann,76,1995,2.8333333333333335,Heat,83,28
111,8.3,Pete Docter,88,2009,1.6,Up,83,14
112,8.3,Robert Mulligan,88,1962,2.15,To Kill a Mockingbird,83,61
113,8.3,George Roy Hill,83,1973,2.15,The Sting,83,50
114,8.3,Thomas Kail,88,2020,2.6666666666666665,Hamilton,83,3
